fasta_name,accession
D/swine/France/29-220655/2022|France|2022-12-21,PP133483.1
D/bovine/South_Dakota/1923830/2019|USA|2019-11-21,OR126146.1
D/bovine/South_Dakota/9251/2020|USA|2020-02-03,OR126147.1
D/bovine/Jilin/HY11/2023|China|2023-10-17,OR880342.1
D/swine/Netherlands/PS-497/2021|Netherlands|2021-03-10,OP474072.1
D/bovine/China/JY3001/2021|China|2021-12-17,ON415264.1
D/bovine/France/O-EA13/2018|France|2018-02-28,ON038815.1
D/bovine/France/O-EA23D/2018|France|2018-02-28,ON038816.1
D/bovine/France/O-EB13D/2018|France|2018-02-28,ON038817.1
D/bovine/France/O-EB18D/2018|France|2018-02-28,ON038819.1
D/bovine/France/O-EB19/2018|France|2018-02-28,ON038820.1
D/bovine/France/O-EB20/2018|France|2018-02-28,ON038821.1
D/bovine/France/O-EB20D/2018|France|2018-02-28,ON038822.1
D/bovine/France/O-EB21D/2018|France|2018-02-28,ON038823.1
D/bovine/France/O-EB22D/2018|France|2018-02-28,ON038824.1
D/bovine/France/O-EB23D/2018|France|2018-02-28,ON038825.1
D/bovine/France/O-EB24D/2018|France|2018-02-28,ON038826.1
D/bovine/France/O-EB31/2018|France|2018-02-28,ON038827.1
D/bovine/France/O-EB32/2018|France|2018-02-28,ON038828.1
D/bovine/France/O-EB33/2018|France|2018-02-28,ON038829.1
D/bovine/France/O-EB37D/2018|France|2018-02-28,ON038831.1
D/bovine/France/O-EB38D/2018|France|2018-02-28,ON038832.1
D/bovine/France/O-EB39D/2018|France|2018-02-28,ON038833.1
D/bovine/France/O-EB45D/2018|France|2018-02-28,ON038834.1
D/bovine/France/O-EB8D/2018|France|2018-02-28,ON038835.1
D/bovine/France/O-EB34/2018|France|2018-02-28,ON038830.1
D/bovine/CHN/JLSL/2021|China|2021-12-06,OM763675.1
D/bovine/Denmark/5246407608-2/2019|Denmark|2019-03-01,OM468202.1
D/bovine/Denmark/3313408142-6/2020|Denmark|2020-01-08,OM468206.1
D/bovine/Denmark/1173303525-4/2019|Denmark|2019-04-05,OM468207.1
D/bovine/Denmark/5358904609-3/2019|Denmark|2019-03-12,OM468203.1
D/bovine/Denmark/6171103755-1/2019|Denmark|2019-02-06,OM468201.1
D/bovine/Denmark/5195604790-5/2019|Denmark|2019-02-20,OM468212.1
D/bovine/Denmark/5224403563-5/2019|Denmark|2019-04-24,OM468213.1
D/bovine/Denmark/3058506689-11/2019|Denmark|2019-10-09,OM468204.1
D/bovine/Denmark/5022903340-5/2019|Denmark|2019-01-15,OM468208.1
D/bovine/Denmark/5161205135-5/2019|Denmark|2019-01-15,OM468209.1
D/bovine/Denmark/5195604714-5/2019|Denmark|2019-01-15,OM468210.1
D/bovine/Denmark/4559602762-5/2019|Denmark|2019-01-15,OM468211.1
D/bovine/Denmark/3727003200-7/2020|Denmark|2020-03-12,OM468214.1
D/bovine/Denmark/5256205576-8/2020|Denmark|2020-03-06,OM468215.1
D/bovine/Denmark/1052304114-10/2020|Denmark|2020-01-16,OM468205.1
D/bovine/Denmark/5995505714-9/2020|Denmark|2020-02-11,OM468216.1
D/bovine/Namibia/255880/2020|Namibia|2020-11-10,OK513023.1
D/bovine/Italy/287448/2015|Italy|2015-10,MZ264978.1
D/bovine/California/0363/2019|USA|2019,MW020306.1
D/bovine/California/0894/2019|USA|2019,MW020313.1
D/bovine/California/1908/2019|USA|2019,MW020320.1
D/bovine/Michigan/0377/2019|USA|2019-02-01,MW632172.1
D/bovine/California/1490/2018|USA|2018-11-01,MW632179.1
D/bovine/Oklahoma/1544/2018|USA|2018-11-01,MW632186.1
D/bovine/Hokkaido/HKD1/2018|Japan|2018-11,LC565470.1
D/bovine/Hokkaido/HKD2/2019|Japan|2019-01,LC565471.1
D/bovine/Hokkaido/HKD3/2020|Japan|2020-01,LC565472.1
D/bovine/Utah/9/2019|USA|2019-01-09,MW079437.1
D/bovine/California/17/2019|USA|2019-01-16,MW079438.1
D/bovine/Kansas/25/2019|USA|2019-04-16,MW079439.1
D/bovine/Kansas/26/2019|USA|2019-04-16,MW079440.1
D/bovine/Kansas/27/2019|USA|2019-04-16,MW079441.1
D/bovine/Kansas/28/2019|USA|2019-04-16,MW079442.1
D/bovine/Kansas/33/2019|USA|2019-08-20,MW079443.1
D/bovine/Texas/72/2017|USA|2017,MT636471.1
D/bovine/Italy/17VIR1851/2016|Italy|2016-10-26,MK965363.1
D/bovine/Italy/16RS2359/2016|Italy|2016-12-16,MK965366.1
D/bovine/Italy/17RS393-6/2017|Italy|2017-02-17,MK965367.1
